ID,Title,Year,IMDB_Scores
12,The Smiling Madame Beudet,1922,NA
15,"Nosferatu, A Symphony of Terror",1922,NA
28,The Battleship Potemkin,1925,NA
44,An Andalusian Dog,1928,NA
54,The Age of Gold,1930,NA
72,Scarface: The Shame of a Nation,1932,NA
83,Land Without Bread,1933,NA
125,Olympia Part 1: Festival of the Nations,1938,NA
126,Olympia Part 2: Festival of Beauty,1938,NA
139,The Story of the Late Chrysanthemums,1939,NA
189,The Children of Paradise,1945,NA
232,Whiskey Galore!,1949,NA
243,The Big Carnival,1951,NA
255,Europa '51,1952,NA
267,Mr. Hulot's Holiday,1953,NA
274,Tales of Ugetsu,1953,NA
275,Voyage in Italy,1953,NA
286,The Wanton Countess,1954,NA
290,Sansho the Baliff,1954,NA
296,The Sins of Lola Montes,1955,NA
314,Bob the Gambler,1955,NA
399,My Life to Live,1962,NA
406,Keeper of Promises,1962,NA
434,The Red Desert,1964,NA
463,Pierrot Goes Wild,1965,NA
476,Two or Three Things I Know About Her,1967,NA
488,Earth Entranced,1967,NA
514,The Color of Pomengranates,1968,NA
543,McCabe and Mrs. Miller,1971,NA
594,Pat Garrett and Billy the Kid,1973,NA
621,Manila in the Claws of Brightness,1975,NA
664,Shaolin Master Killer,1978,NA
668,Nosferatu: Phantom of the Night,1979,NA
750,The Time to Live and the Time to Die,1985,NA
788,"Project A, Part II",1987,NA
805,Hotel Terminus: The Life and Times of Klaus Barbie,1988,NA
819,The Decalogue,1988,NA
847,"No Fear, No Die",1990,NA
889,Aileen Wuornos: The Selling of a Serial Killer,1992,NA
890,The Blue Kite,1993,NA
931,The Brave-Hearted Will Take the Bride,1995,NA
958,Hana-Bi,1997,NA
969,"Fast, Cheap, and Out of Control",1997,NA
1044,Talk to Her,2002,NA
1045,The Pianist,2002,NA
1046,Adaptation.,2002,NA
1047,Far from Heaven,2002,NA
1048,Chicago,2002,NA
1049,Hero,2002,NA
1050,Distant,2002,NA
1051,Rabbit-Proof Fence,2002,NA
1052,Irreversible,2002,NA
1053,Bus 174,2002,NA
1054,Elephant,2003,NA
1055,Aileen: Life and Death of a Serial Killer,2003,NA
1056,Oldboy,2003,NA
1057,"Good Bye, Lenin!",2003,NA
1058,Osama,2003,NA
1059,The Barbarian Invasions,2003,NA
1060,"Kill Bill, Vol. 1",2003,NA
1061,The Best of Youth,2003,NA
1062,Lost in Translation,2003,NA
1063,Head-On,2004,NA
1064,The Consequences of Love,2004,NA
1065,Moolaadé,2004,NA
1066,Downfall,2004,NA
1067,Fahrenheit 9/11,2004,NA
1068,The Passion of the Christ,2004,NA
1069,Collateral,2004,NA
1070,The Aviator,2004,NA
1071,Million Dollar Baby,2004,NA
1072,3-Iron,2004,NA
1073,Crash,2004,NA
1074,Sideways,2004,NA
1075,A Very Long Engagement,2004,NA
1076,Tsotsi,2005,NA
1077,Brokeback Mountain,2005,NA
1078,"Go, See, and Become",2005,NA
1079,Paradise Now,2005,NA
1080,Hidden,2005,NA
1081,The Constant Gardener,2005,NA
1082,Pan's Labyrinth,2006,NA
1083,The Lives of Others,2006,NA
1084,Apocalypto,2006,NA
1085,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,NA
1086,Once,2006,NA
1087,The Queen,2006,NA
1088,The Host,2006,NA
1089,The Prestige,2006,NA
1090,Children of Men,2006,NA
1091,United 93,2006,NA
1092,The Last King of Scotland,2006,NA
1093,Babel,2006,NA
1094,Volver,2006,NA
1095,Little Miss Sunshine,2006,NA
1096,The Departed,2006,NA
1097,Paranormal Activity,2007,NA
1098,There Will Be Blood,2007,NA
1099,La Vie en Rose,2007,NA
1100,Into the Wild,2007,NA
1101,Atonement,2007,NA
1102,Surfwise,2007,NA
1103,The Bourne Ultimatum,2007,NA
1104,No Country for Old Men,2007,NA
1105,The Diving Bell and the Butterfly,2007,NA
1106,The Hurt Locker,2008,NA
1107,Slumdog Millionaire,2008,NA
1108,The Dark Knight,2008,NA
1109,Let the Right One In,2008,NA
1110,Wall-E,2008,NA
1111,"The Good, the Bad, the Weird",2008,NA
1112,The Wrestler,2008,NA
1113,The Curious Case of Benjamin Button,2008,NA
1114,The Class,2008,NA
1115,Anvil! The Story of Anvil,2008,NA
1116,Gomorrah,2008,NA
1117,District 9,2009,NA
1118,Avatar,2009,NA
1119,An Education,2009,NA
1120,"Precious: Based on the Novel ""Push"" by Sapphire",2009,NA
1121,The Hangover,2009,NA
1122,In the Loop,2009,NA
1123,Fish Tank,2009,NA
1124,Inglourious Basterds,2009,NA
1125,The White Ribbon,2009,NA
1126,Nostalgia for the Light,2010,NA
1127,Black Swan,2010,NA
1128,Inception,2010,NA
1129,The Social Network,2010,NA
1130,Monsters,2010,NA
1131,Four Lions,2010,NA
1132,True Grit,2010,NA
1133,Of Gods and Men,2010,NA
1134,The King's Speech,2010,NA
1135,Senna,2010,NA
1136,Cave of Forgotten Dreams,2010,NA
1137,The Artist,2011,NA
1138,A Separation,2011,NA
1139,The Girl with the Dragon Tattoo,2011,NA
1140,War Horse,2011,NA
1141,The Descendants,2011,NA
1142,Hugo,2011,NA
1143,Le Havre,2011,NA
1145,Tinker Tailor Soldier Spy,2011,NA
1146,Bridesmaids,2011,NA
1147,The Tree of Life,2011,NA
1148,The Kid with a Bike,2011,NA
1149,Drive,2011,NA
1150,The Cabin in the Woods,2012,NA
1151,Wadjda,2012,NA
1152,Lincoln,2012,NA
1153,Life of Pi,2012,NA
1154,Les Misérables,2012,NA
1155,Argo,2012,NA
1156,Skyfall,2012,NA
1157,Blancanieves,2012,NA
1158,Amour,2012,NA
1159,Django Unchained,2012,NA
1160,The Act of Killing,2012,NA
1161,Gravity,2013,NA
1162,The Great Beauty,2013,NA
1163,Blue Is the Warmest Color,2013,NA
1164,12 Years a Slave,2013,NA
1165,Nebraska,2013,NA
1166,Inside Llewyn Davis,2013,NA
1167,American Hustle,2013,NA
1168,A Touch of Sin,2013,NA
1169,Ida,2013,NA
1170,Under the Skin,2013,NA
1171,The Wolf of Wall Street,2013,NA
1172,Leviathan,2014,NA
1173,Boyhood,2014,NA
1174,Birdman: Or,2014,NA
1175,Whiplash,2014,NA
1176,The Grand Budapest Hotel,2014,NA
1177,Citizenfour,2014,NA
1178,Guardians of the Galaxy,2014,NA
1179,The Theory of Everything,2014,NA
1180,The Look of Silence,2014,NA
1181,Star Wars: The Force Awakens,2015,NA
1182,The Revenant,2015,NA
1183,Son of Saul,2015,NA
1184,Bridge of Spies,2015,NA
1185,The Big Short,2015,NA
1186,Spotlight,2015,NA
1187,Tangerine,2015,NA
1188,Straight Outta Compton,2015,NA
1189,Mad Max: Fury Road,2015,NA
1190,Victoria,2015,NA
1191,La La Land,2016,NA
1192,Hell or High Water,2016,NA
1194,Jackie,2016,NA
1195,Toni Erdmann,2016,NA
1196,Under the Shadow,2016,NA
1197,Manchester by the Sea,2016,NA
1198,"I, Daniel Blake",2016,NA
1199,13th,2016,NA
1200,Arrival,2016,NA
1201,Moonlight,2016,NA
1202,The Handmaiden,2016,NA
1203,Dawson City: Frozen Time,2016,NA
1204,Lady Macbeth,2016,NA
1205,Lady Bird,2017,NA
1206,The Shape of Water,2017,NA
1207,"Three Billboards Outside Ebbing, Missouri",2017,NA
1208,Call Me by Your Name,2017,NA
1209,Mother!,2017,NA
1210,Blade Runner 2049,2017,NA
1211,Get Out,2017,NA
1212,Phantom Thread,2017,NA
1213,The Greatest Showman,2017,NA
1214,Black Panther,2018,NA
1215,Crazy Rich Asians,2018,NA
1216,Capernaum,2018,NA
1218,Avengers: Infinity War,2018,NA
1219,Roma,2018,NA
1220,Hereditary,2018,NA
1221,The Favourite,2018,NA
1222,Sorry to Bother You,2018,NA
1223,Vice,2018,NA
1224,BlacKkKlansman,2018,NA
1225,Avengers: Endgame,2019,NA
1226,Portrait of a Lady on Fire,2019,NA
1227,For Sama,2019,NA
1228,Booksmart,2019,NA
1229,Once Upon a Time in Hollywood,2019,NA
1230,The Farewell,2019,NA
1231,Joker,2019,NA
1232,Parasite,2019,NA
1233,Monos,2019,NA
1234,Little Women,2019,NA
1235,The Lighthouse,2019,NA
1236,The Vast of Night,2019,NA
1237,The Assistant,2019,NA
1238,Rocks,2019,NA
1239,Saint Maud,2019,NA
1240,Tenet,2020,NA
1241,Ma Rainey's Black Bottom,2020,NA
1242,Soul,2020,NA
1243,Never Rarely Sometimes Always,2020,NA
1244,Lovers Rock,2020,NA
1245,Nomadland,2020,NA
48,The Man with the Movie Camera,1929,N/A
56,Freedom for Us,1931,N/A
97,Bride of Frankenstein,1935,N/A
190,The Battle of San Pietro,1945,N/A
283,Les Diaboliques,1954,N/A
299,Marty,1955,N/A
339,The Unvanquished,1957,N/A
413,8 1/2,1963,N/A
464,Golden River,1965,N/A
467,Blowup,1966,N/A
491,The Fireman's Ball,1967,N/A
520,Lucía,1969,N/A
567,Cries and Whispers,1972,N/A
830,When Harry Met Sally,1989,N/A
905,The Wild Reeds,1994,N/A
1009,A One and a Two,2000,N/A
919,The Shawshank Redemption,1994,9.3
569,The Godfather,1972,9.2
333,12 Angry Men,1957,9
603,The Godfather: Part II,1974,9
894,Schindler's List,1993,9
1024,The Lord of the Rings: The Return of the King,2003,9
908,Pulp Fiction,1994,8.9
471,"The Good, the Bad, and the Ugly",1966,8.8
917,Forrest Gump,1994,8.8
993,Fight Club,1999,8.8
1022,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
1023,The Lord of the Rings: The Two Towers,2002,8.8
620,One Flew Over the Cuckoo's Nest,1975,8.7
685,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
724,Sunless,1983,8.7
762,Shoah,1985,8.7
848,Goodfellas,1990,8.7
998,The Matrix,1999,8.7
199,It's a Wonderful Life,1946,8.6
289,Seven Samurai,1954,8.6
305,Night and Fog,1955,8.6
642,Star Wars,1977,8.6
869,The Silence of the Lambs,1991,8.6
870,Terminator 2: Judgment Day,1991,8.6
927,Se7en,1995,8.6
973,Saving Private Ryan,1998,8.6
1025,Spirited Away,2001,8.6
1043,City of God,2002,8.6
59,City Lights,1931,8.5
101,Modern Times,1936,8.5
165,Casablanca,1942,8.5
285,Rear Window,1954,8.5
364,The World of Apu,1959,8.5
374,Spartacus,1960,8.5
378,Psycho,1960,8.5
435,Woman in the Dunes,1964,8.5
497,Once Upon a Time in the West,1968,8.5
673,Alien,1979,8.5
676,Apocalypse Now,1979,8.5
756,Back to the Future,1985,8.5
815,Cinema Paradiso,1988,8.5
816,Grave of the Fireflies,1988,8.5
903,The Lion King,1994,8.5
941,The Usual Suspects,1995,8.5
1007,Gladiator,2000,8.5
240,Sunset Blvd.,1950,8.4
330,Paths of Glory,1957,8.4
441,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",1964,8.4
688,The Shining,1980,8.4
696,Raiders of the Lost Ark,1981,8.4
747,Amadeus,1984,8.4
752,Come and See,1985,8.4
777,Aliens,1986,8.4
924,Braveheart,1995,8.4
1012,Memento,2000,8.4
33,Metropolis,1927,8.3
63,M,1931,8.3
150,Citizen Kane,1941,8.3
181,Double Indemnity,1944,8.3
241,The Young and the Damned,1950,8.3
256,Singin' In the Rain,1952,8.3
258,To Live,1952,8.3
298,Ordet,1955,8.3
338,The Cranes are Flying,1957,8.3
347,Vertigo,1958,8.3
355,North by Northwest,1959,8.3
375,The Apartment,1960,8.3
404,Lawrence of Arabia,1962,8.3
405,To Kill a Mockingbird,1962,8.3
506,2001: A Space Odyssey,1968,8.3
542,A Clockwork Orange,1971,8.3
578,The Sting,1973,8.3
725,Star Wars: Episode VI - Return of the Jedi,1983,8.3
732,Scarface,1983,8.3
735,Once Upon a Time in America,1983,8.3
793,Full Metal Jacket,1987,8.3
863,A Brighter Summer Day,1991,8.3
880,Reservoir Dogs,1992,8.3
913,Hoop Dreams,1994,8.3
935,Heat,1995,8.3
936,Toy Story,1995,8.3
938,Toy Story 3,2010,8.3
968,Princess Mononoke,1997,8.3
995,American Beauty,1999,8.3
999,Taboo,1999,8.3
1010,Requiem for a Dream,2000,8.3
1027,Amélie,2001,8.3
1,A Trip to the Moon,1902,8.2
22,"Sherlock, Jr.",1924,8.2
43,The Passion of Joan of Arc,1928,8.2
67,I Am a Fugitive From a Chain Gang,1932,8.2
112,Make Way for Tomorrow,1937,8.2
115,Midnight Song,1937,8.2
133,Gone With the Wind,1939,8.2
161,To Be Or Not To Be,1942,8.2
223,The Treasure of the Sierra Madre,1948,8.2
236,Rashomon,1950,8.2
237,All About Eve,1950,8.2
259,Umberto D,1952,8.2
272,Tokyo Story,1953,8.2
297,Pather Panchali,1955,8.2
322,A Man Escaped,1956,8.2
354,Some Like It Hot,1959,8.2
371,Rocco and his Brothers,1960,8.2
372,The Adventure,1960,8.2
427,The Great Escape,1963,8.2
449,The Shop on Main Street,1965,8.2
511,Z,1969,8.2
